Date,Confirmed,Label,Recovered
02/26/2020,1,0,0
02/27/2020,1,0,0
02/28/2020,3,0,0
02/29/2020,3,0,0
03/1/2020,3,0,0
03/2/2020,3,0,0
03/3/2020,3,0,0
03/4/2020,4,0,1
03/5/2020,6,0,1
03/6/2020,9,0,1
03/7/2020,9,0,3
03/8/2020,15,0,3
03/9/2020,15,0,3
03/10/2020,25,0,3
03/11/2020,45,0,6
03/12/2020,49,0,6
03/13/2020,89,0,7
03/14/2020,123,0,9
03/15/2020,139,0,9
03/16/2020,168,0,9
03/17/2020,184,0,16
03/18/2020,217,0,19
03/19/2020,260,0,19
03/20/2020,308,0,31
